name,image_filename,info
Aishwarya Rai Bachchan,Aishwarya_Rai_Bachchan.jpg,"Information about Aishwarya Rai Bachchan is not available.
Additional details will be updated soon."
Madhuri Dixit,Madhuri_Dixit.jpg,"Information about Madhuri Dixit is not available.
Additional details will be updated soon."
Sridevi,Sridevi.jpg,"Information about Sridevi is not available.
Additional details will be updated soon."
Raveena Tandon,Raveena_Tandon.jpg,"Information about Raveena Tandon is not available.
Additional details will be updated soon."
Tabu,Tabu.jpg,"Information about Tabu is not available.
Additional details will be updated soon."
Kajol,Kajol.jpg,"Information about Kajol is not available.
Additional details will be updated soon."
Karisma Kapoor,Karisma_Kapoor.jpg,"Information about Karisma Kapoor is not available.
Additional details will be updated soon."
Urmila Matondkar,Urmila_Matondkar.jpg,"Information about Urmila Matondkar is not available.
Additional details will be updated soon."
Manisha Koirala,Manisha_Koirala.jpg,"Information about Manisha Koirala is not available.
Additional details will be updated soon."
Twinkle Khanna,Twinkle_Khanna.jpg,"Information about Twinkle Khanna is not available.
Additional details will be updated soon."
Amrita Rao,Amrita_Rao.jpg,"Information about Amrita Rao is not available.
Additional details will be updated soon."
Genelia D'Souza,Genelia_D'Souza.jpg,"Information about Genelia D'Souza is not available.
Additional details will be updated soon."
Asin,Asin.jpg,"Information about Asin is not available.
Additional details will be updated soon."
Bipasha Basu,Bipasha_Basu.jpg,"Information about Bipasha Basu is not available.
Additional details will be updated soon."
Lara Dutta,Lara_Dutta.jpg,"Information about Lara Dutta is not available.
Additional details will be updated soon."
Dia Mirza,Dia_Mirza.jpg,"Information about Dia Mirza is not available.
Additional details will be updated soon."
Amisha Patel,Amisha_Patel.jpg,"Information about Amisha Patel is not available.
Additional details will be updated soon."
Esha Deol,Esha_Deol.jpg,"Information about Esha Deol is not available.
Additional details will be updated soon."
Neha Dhupia,Neha_Dhupia.jpg,"Information about Neha Dhupia is not available.
Additional details will be updated soon."
Gracy Singh,Gracy_Singh.jpg,"Information about Gracy Singh is not available.
Additional details will be updated soon."
Rimi Sen,Rimi_Sen.jpg,"Information about Rimi Sen is not available.
Additional details will be updated soon."
Celina Jaitly,Celina_Jaitly.jpg,"Information about Celina Jaitly is not available.
Additional details will be updated soon."
Tanushree Dutta,Tanushree_Dutta.jpg,"Information about Tanushree Dutta is not available.
Additional details will be updated soon."
Neetu Chandra,Neetu_Chandra.jpg,"Information about Neetu Chandra is not available.
Additional details will be updated soon."
Minissha Lamba,Minissha_Lamba.jpg,"Information about Minissha Lamba is not available.
Additional details will be updated soon."
Aditi Rao Hydari,Aditi_Rao_Hydari.jpg,"Information about Aditi Rao Hydari is not available.
Additional details will be updated soon."
Huma Qureshi,Huma_Qureshi.jpg,"Information about Huma Qureshi is not available.
Additional details will be updated soon."
Richa Chadha,Richa_Chadha.jpg,"Information about Richa Chadha is not available.
Additional details will be updated soon."
Radhika Apte,Radhika_Apte.jpg,"Information about Radhika Apte is not available.
Additional details will be updated soon."
Kalki Koechlin,Kalki_Koechlin.jpg,"Information about Kalki Koechlin is not available.
Additional details will be updated soon."
Swara Bhasker,Swara_Bhasker.jpg,"Information about Swara Bhasker is not available.
Additional details will be updated soon."
Rasika Dugal,Rasika_Dugal.jpg,"Information about Rasika Dugal is not available.
Additional details will be updated soon."
Tillotama Shome,Tillotama_Shome.jpg,"Information about Tillotama Shome is not available.
Additional details will be updated soon."
Sayani Gupta,Sayani_Gupta.jpg,"Information about Sayani Gupta is not available.
Additional details will be updated soon."
Tisca Chopra,Tisca_Chopra.jpg,"Information about Tisca Chopra is not available.
Additional details will be updated soon."
Konkona Sen Sharma,Konkona_Sen_Sharma.jpg,"Information about Konkona Sen Sharma is not available.
Additional details will be updated soon."
